crop,soil_type,season,ph_min,ph_max,nitrogen_req,phosphorus_req,potassium_req,rainfall_min_mm,rainfall_max_mm,temp_min_c,temp_max_c,irrigation_type,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,profit_rs_per_acre,risk_score,climate_score
Sorghum,Clay,Kharif,5.7,7.3,131,27,70,441,835,11,28,Rainfed,6.88,34405.0,26171.0,145653.0,0.42,0.81
Sorghum,Clay,Rabi,5.0,7.7,102,36,120,589,999,11,29,Drip,6.69,34405.0,26171.0,140680.0,0.51,0.68
Sorghum,Clay,Summer,5.8,7.7,40,55,129,374,707,18,32,Drip,5.45,34405.0,26171.0,108228.0,0.53,0.65
Sorghum,Clay,All,5.4,7.7,122,22,42,435,688,12,28,Rainfed,7.1,34405.0,26171.0,151410.0,0.34,0.87
Sorghum,Silty,Kharif,5.5,6.7,168,48,98,322,1266,22,40,Sprinkler,6.35,34405.0,26171.0,131782.0,0.58,0.62
Sorghum,Silty,Rabi,5.5,7.1,67,82,111,765,1419,11,22,Sprinkler,6.74,34405.0,26171.0,141989.0,0.13,0.7
Sorghum,Silty,Summer,5.6,7.3,123,68,96,571,1072,17,35,Flood,5.43,34405.0,26171.0,107704.0,0.45,0.9
Sorghum,Silty,All,5.7,7.7,95,75,77,754,1187,16,31,Flood,6.2,34405.0,26171.0,127856.0,0.46,0.71
Sorghum,Peaty,Kharif,5.3,6.9,79,80,28,346,633,11,27,Rainfed,7.1,34405.0,26171.0,151410.0,0.29,0.65
Sorghum,Peaty,Rabi,5.1,7.9,124,35,72,481,1362,22,38,Rainfed,7.67,34405.0,26171.0,166328.0,0.4,0.72
Sorghum,Peaty,Summer,5.6,6.8,163,48,128,355,913,18,33,Rainfed,7.14,34405.0,26171.0,152457.0,0.39,0.88
Sorghum,Peaty,All,5.8,8.0,46,54,23,392,871,21,35,Sprinkler,6.08,34405.0,26171.0,124716.0,0.19,0.65
Millet,Sandy,Kharif,6.0,6.6,175,47,68,514,1178,15,27,Sprinkler,4.43,28006.0,15340.0,39950.0,0.26,0.93
Millet,Sandy,Rabi,5.6,7.8,79,40,116,616,866,20,31,Sprinkler,4.68,28006.0,15340.0,43786.0,0.31,0.81
Millet,Sandy,Summer,5.4,6.8,171,34,64,520,833,14,31,Sprinkler,3.92,28006.0,15340.0,32127.0,0.3,0.81
Millet,Sandy,All,5.0,7.0,94,37,117,430,926,15,26,Rainfed,4.78,28006.0,15340.0,45320.0,0.32,0.65
Millet,Loamy,Kharif,5.5,6.8,130,29,70,741,1700,10,26,Rainfed,4.71,28006.0,15340.0,44246.0,0.14,0.71
Millet,Loamy,Rabi,5.4,7.1,146,57,34,507,728,15,27,Flood,5.42,28006.0,15340.0,55137.0,0.56,0.63
Millet,Loamy,Summer,5.8,6.9,142,87,30,502,1019,21,36,Drip,4.47,28006.0,15340.0,40564.0,0.18,0.78
Millet,Loamy,All,5.1,7.3,129,64,113,790,1650,12,25,Rainfed,4.11,28006.0,15340.0,35042.0,0.2,0.81
Millet,Clay,Kharif,5.8,7.5,85,83,79,686,1463,22,39,Sprinkler,5.48,28006.0,15340.0,56058.0,0.41,0.65
Millet,Clay,Rabi,5.1,7.2,117,55,95,328,888,18,29,Sprinkler,4.71,28006.0,15340.0,44246.0,0.12,0.73
Millet,Clay,Summer,5.3,7.5,63,84,69,536,1330,18,28,Flood,5.57,28006.0,15340.0,57438.0,0.39,0.67
Millet,Clay,All,5.6,7.3,55,77,33,715,1266,21,32,Drip,3.9,28006.0,15340.0,31820.0,0.45,0.95
Millet,Silty,Kharif,5.5,7.4,133,67,137,444,1040,16,31,Rainfed,5.34,28006.0,15340.0,53910.0,0.42,0.62
Millet,Silty,Rabi,5.1,7.5,112,52,112,736,1608,19,31,Sprinkler,3.99,28006.0,15340.0,33201.0,0.43,0.92
Millet,Silty,Summer,5.3,7.5,140,36,96,662,948,14,32,Flood,5.06,28006.0,15340.0,49615.0,0.26,0.64
Millet,Silty,All,5.7,7.9,174,31,102,643,1276,18,33,Rainfed,4.52,28006.0,15340.0,41331.0,0.19,0.67
Millet,Peaty,Kharif,5.9,7.2,97,37,39,339,841,22,33,Rainfed,5.1,28006.0,15340.0,50228.0,0.54,0.82
Millet,Peaty,Rabi,5.6,6.7,86,41,112,524,768,16,31,Drip,5.69,28006.0,15340.0,59279.0,0.41,0.86
Millet,Peaty,Summer,5.8,6.9,101,59,123,701,1381,13,28,Flood,4.71,28006.0,15340.0,44246.0,0.24,0.73
Millet,Peaty,All,5.5,7.9,91,37,131,428,681,20,37,Sprinkler,4.89,28006.0,15340.0,47007.0,0.15,0.9
Oats,Sandy,Kharif,5.3,7.9,77,75,31,784,1211,17,32,Rainfed,5.56,28604.0,25683.0,114193.0,0.3,0.73
Oats,Sandy,Rabi,5.4,6.6,97,23,60,776,1077,21,36,Drip,4.92,28604.0,25683.0,97756.0,0.24,0.89
Oats,Sandy,Summer,5.7,6.7,160,77,98,302,583,10,24,Drip,6.53,28604.0,25683.0,139106.0,0.37,0.85
Oats,Sandy,All,5.5,6.7,113,50,58,362,610,13,29,Flood,4.75,28604.0,25683.0,93390.0,0.52,0.77
Oats,Loamy,Kharif,5.5,7.4,101,38,57,519,720,19,34,Drip,5.92,28604.0,25683.0,123439.0,0.19,0.83
Oats,Loamy,Rabi,5.5,7.0,174,89,84,702,1421,18,28,Flood,6.62,28604.0,25683.0,141417.0,0.12,0.74
Oats,Loamy,Summer,5.4,7.6,131,28,64,423,1373,20,31,Sprinkler,4.91,28604.0,25683.0,97499.0,0.28,0.72
Oats,Loamy,All,5.6,7.7,158,81,100,393,731,11,28,Rainfed,5.28,28604.0,25683.0,107002.0,0.12,0.67
Oats,Clay,Kharif,5.0,7.9,171,70,124,578,1262,14,24,Drip,5.26,28604.0,25683.0,106489.0,0.53,0.62
Oats,Clay,Rabi,5.7,6.9,134,75,133,504,1465,17,33,Sprinkler,6.85,28604.0,25683.0,147325.0,0.35,0.77
Oats,Clay,Summer,5.9,7.3,61,74,30,520,1336,12,30,Sprinkler,5.34,28604.0,25683.0,108543.0,0.14,0.83
Oats,Clay,All,5.3,7.4,149,41,108,527,1086,17,27,Sprinkler,6.02,28604.0,25683.0,126008.0,0.32,0.82
Oats,Silty,Kharif,5.8,6.6,143,66,85,710,1677,20,32,Rainfed,4.93,28604.0,25683.0,98013.0,0.4,0.87
Oats,Silty,Rabi,5.0,6.6,133,66,69,786,1566,10,22,Flood,6.79,28604.0,25683.0,145784.0,0.29,0.87
Oats,Silty,Summer,5.6,7.3,141,60,103,442,897,11,21,Drip,5.75,28604.0,25683.0,119073.0,0.29,0.8
Oats,Silty,All,5.3,6.9,154,47,98,446,1356,17,30,Rainfed,4.92,28604.0,25683.0,97756.0,0.14,0.66
Oats,Peaty,Kharif,5.7,8.0,121,64,110,333,1096,18,32,Sprinkler,6.56,28604.0,25683.0,139876.0,0.46,0.92
Oats,Peaty,Rabi,5.6,7.7,170,48,35,402,744,13,30,Rainfed,5.44,28604.0,25683.0,111111.0,0.39,0.76
Oats,Peaty,Summer,6.0,6.7,62,28,59,503,1437,21,38,Flood,6.38,28604.0,25683.0,135254.0,0.51,0.63
Oats,Peaty,All,6.0,7.5,155,79,107,564,1116,12,30,Drip,6.37,28604.0,25683.0,134997.0,0.16,0.78
Rye,Sandy,Kharif,5.3,6.7,97,64,140,565,1055,11,25,Drip,6.16,21989.0,51907.0,297757.0,0.38,0.64
Rye,Sandy,Rabi,5.3,7.3,168,41,95,782,1576,12,24,Sprinkler,6.64,21989.0,51907.0,322672.0,0.38,0.89
Rye,Sandy,Summer,5.0,6.6,107,46,118,592,1218,19,29,Flood,6.75,21989.0,51907.0,328382.0,0.37,0.82
Rye,Sandy,All,5.3,6.9,143,58,78,337,1242,10,22,Flood,5.64,21989.0,51907.0,270765.0,0.33,0.72
Rye,Loamy,Kharif,5.1,7.8,121,64,71,366,1344,15,33,Rainfed,5.42,21989.0,51907.0,259346.0,0.33,0.69
Rye,Loamy,Rabi,5.2,6.6,114,69,130,615,1243,13,25,Sprinkler,6.85,21989.0,51907.0,333573.0,0.46,0.67
Rye,Loamy,Summer,5.2,8.0,159,83,132,457,1166,10,21,Flood,5.85,21989.0,51907.0,281666.0,0.58,0.68
Rye,Loamy,All,5.4,6.6,166,80,56,574,782,11,27,Drip,6.73,21989.0,51907.0,327344.0,0.46,0.87
Rye,Clay,Kharif,5.4,7.1,89,66,90,447,722,16,34,Flood,6.46,21989.0,51907.0,313329.0,0.24,0.95
Rye,Clay,Rabi,5.7,6.7,64,70,67,706,1253,18,33,Drip,5.14,21989.0,51907.0,244812.0,0.35,0.78
Rye,Clay,Summer,5.0,6.7,125,80,86,533,885,19,37,Drip,5.44,21989.0,51907.0,260384.0,0.41,0.66
Rye,Clay,All,6.0,7.6,116,63,84,724,1445,18,35,Sprinkler,5.78,21989.0,51907.0,278032.0,0.11,0.72
Rye,Silty,Kharif,5.1,7.1,118,23,96,542,1013,20,33,Rainfed,6.04,21989.0,51907.0,291528.0,0.19,0.82
Rye,Silty,Rabi,5.6,7.8,77,51,24,593,1510,11,24,Rainfed,5.7,21989.0,51907.0,273880.0,0.31,0.74
Rye,Silty,Summer,5.2,7.3,160,27,110,370,1101,13,31,Sprinkler,7.0,21989.0,51907.0,341359.0,0.34,0.73
Rye,Silty,All,6.0,7.2,176,63,89,481,1373,22,36,Flood,5.12,21989.0,51907.0,243774.0,0.22,0.8
Rye,Peaty,Kharif,5.2,8.0,116,56,110,406,1312,21,38,Sprinkler,5.79,21989.0,51907.0,278551.0,0.38,0.93
Rye,Peaty,Rabi,5.7,6.9,179,68,134,502,1055,22,34,Sprinkler,4.77,21989.0,51907.0,225606.0,0.58,0.63
Rye,Peaty,Summer,5.9,7.5,162,47,45,723,1474,14,32,Sprinkler,4.99,21989.0,51907.0,237026.0,0.41,0.81
Rye,Peaty,All,5.2,7.5,175,48,101,419,672,11,27,Sprinkler,6.35,21989.0,51907.0,307619.0,0.15,0.87
Corn,Sandy,Kharif,5.4,7.9,161,81,103,402,1376,14,29,Sprinkler,1.61,33086.0,38417.0,28766.0,0.55,0.63
Corn,Sandy,Rabi,5.6,7.3,49,42,73,751,1131,10,26,Flood,1.33,33086.0,38417.0,18009.0,0.47,0.91
Corn,Sandy,Summer,5.3,6.6,116,33,138,471,962,17,35,Flood,1.76,33086.0,38417.0,34528.0,0.17,0.78
Corn,Sandy,All,5.3,7.7,124,40,113,534,1397,14,26,Rainfed,1.67,33086.0,38417.0,31071.0,0.5,0.8
Corn,Loamy,Kharif,5.8,6.8,143,74,85,467,755,16,27,Drip,1.82,33086.0,38417.0,36833.0,0.34,0.93
Corn,Loamy,Rabi,5.0,7.1,154,54,62,454,1250,21,31,Sprinkler,1.62,33086.0,38417.0,29150.0,0.45,0.62
Corn,Loamy,Summer,5.1,7.0,143,84,138,758,1678,22,36,Rainfed,1.61,33086.0,38417.0,28766.0,0.57,0.73
Corn,Loamy,All,5.2,7.9,162,39,78,682,1502,15,31,Flood,1.68,33086.0,38417.0,31455.0,0.5,0.89
Corn,Clay,Kharif,5.8,7.5,60,87,77,570,1490,15,26,Rainfed,1.26,33086.0,38417.0,15320.0,0.37,0.78
Corn,Clay,Rabi,5.6,6.7,123,86,76,359,1255,13,30,Rainfed,1.77,33086.0,38417.0,34912.0,0.32,0.62
Corn,Clay,Summer,5.1,7.1,54,79,106,713,1228,21,31,Flood,1.38,33086.0,38417.0,19930.0,0.1,0.68
Corn,Clay,All,5.1,7.1,56,89,27,778,1048,17,27,Sprinkler,1.47,33086.0,38417.0,23387.0,0.48,0.87
Corn,Silty,Kharif,6.0,7.5,147,67,134,495,1154,16,32,Rainfed,1.64,33086.0,38417.0,29918.0,0.43,0.79
Corn,Silty,Rabi,5.7,7.0,85,88,70,570,900,21,34,Rainfed,1.68,33086.0,38417.0,31455.0,0.59,0.76
Corn,Silty,Summer,5.7,7.1,137,49,51,535,1089,12,26,Drip,1.79,33086.0,38417.0,35681.0,0.46,0.64
Corn,Silty,All,5.8,7.1,44,50,46,334,637,19,29,Flood,1.59,33086.0,38417.0,27997.0,0.45,0.62
Corn,Peaty,Kharif,5.7,7.1,99,89,47,686,1680,10,22,Sprinkler,1.36,33086.0,38417.0,19161.0,0.56,0.8
Corn,Peaty,Rabi,5.6,7.7,122,50,58,748,1094,20,38,Drip,1.47,33086.0,38417.0,23387.0,0.24,0.79
Corn,Peaty,Summer,5.6,7.6,84,74,91,553,801,15,31,Sprinkler,1.65,33086.0,38417.0,30302.0,0.3,0.7
Corn,Peaty,All,5.2,7.3,101,48,58,739,1663,12,29,Rainfed,1.56,33086.0,38417.0,26845.0,0.58,0.8
Quinoa,Sandy,Kharif,5.6,7.9,134,31,88,670,1065,10,24,Flood,2.32,13490.0,23657.0,41395.0,0.4,0.91
Quinoa,Sandy,Rabi,5.2,7.6,95,81,46,745,1285,14,24,Drip,2.55,13490.0,23657.0,46836.0,0.58,0.64
Quinoa,Sandy,Summer,6.0,7.2,102,46,70,768,1213,18,33,Sprinkler,2.07,13490.0,23657.0,35480.0,0.37,0.73
Quinoa,Sandy,All,5.3,7.3,167,79,32,711,1650,17,32,Drip,2.06,13490.0,23657.0,35244.0,0.31,0.8
Quinoa,Loamy,Kharif,5.2,6.7,106,90,139,599,1392,21,37,Sprinkler,1.87,13490.0,23657.0,30749.0,0.26,0.73
Quinoa,Loamy,Rabi,5.8,7.2,126,52,117,720,1420,21,38,Flood,1.88,13490.0,23657.0,30985.0,0.5,0.66
Quinoa,Loamy,Summer,5.7,7.2,178,27,87,317,593,20,30,Rainfed,2.09,13490.0,23657.0,35953.0,0.52,0.68
Quinoa,Loamy,All,5.7,6.5,169,78,67,330,1162,20,37,Flood,1.75,13490.0,23657.0,27910.0,0.37,0.74
Quinoa,Clay,Kharif,5.0,7.6,177,56,22,557,1471,20,36,Drip,1.83,13490.0,23657.0,29803.0,0.15,0.65
Quinoa,Clay,Rabi,5.2,7.3,130,54,121,503,783,15,31,Flood,2.23,13490.0,23657.0,39265.0,0.6,0.68
Quinoa,Clay,Summer,5.7,7.8,48,31,71,494,1080,18,35,Rainfed,2.29,13490.0,23657.0,40685.0,0.45,0.63
Quinoa,Clay,All,5.8,7.5,124,32,134,570,813,13,26,Flood,1.97,13490.0,23657.0,33115.0,0.56,0.84
Quinoa,Silty,Kharif,5.3,7.3,48,42,138,735,1257,10,23,Drip,2.39,13490.0,23657.0,43051.0,0.46,0.74
Quinoa,Silty,Rabi,5.1,6.7,101,69,106,759,1512,15,31,Drip,2.42,13490.0,23657.0,43760.0,0.44,0.63
Quinoa,Silty,Summer,5.7,7.0,65,75,49,729,1006,15,31,Sprinkler,1.76,13490.0,23657.0,28147.0,0.24,0.95
Quinoa,Silty,All,5.5,7.0,136,75,43,648,1447,20,36,Rainfed,2.41,13490.0,23657.0,43524.0,0.25,0.69
Quinoa,Peaty,Kharif,5.1,6.9,137,39,114,499,1023,15,26,Rainfed,1.74,13490.0,23657.0,27673.0,0.25,0.73
Quinoa,Peaty,Rabi,5.3,6.7,87,75,77,585,1353,18,34,Rainfed,1.76,13490.0,23657.0,28147.0,0.28,0.63
Quinoa,Peaty,Summer,5.6,7.0,138,21,57,511,1108,22,33,Drip,2.23,13490.0,23657.0,39265.0,0.18,0.73
Quinoa,Peaty,All,5.1,7.0,166,38,28,385,1030,14,30,Sprinkler,2.16,13490.0,23657.0,37609.0,0.14,0.69
Soybean,Sandy,Kharif,5.2,6.7,117,20,70,470,1305,16,31,Flood,2.55,24033.0,42002.0,83071.0,0.51,0.9
