crop,soil_type,season,irrigation_type,ph_min,ph_max,n_required,p_required,k_required,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,climate_score,risk_score,fertilizer_cost_per_kg_n,fertilizer_cost_per_kg_p,fertilizer_cost_per_kg_k
Tomato,Loamy,Rabi,Canal,5.9,7.3,210,88,77,21.69,78120,15402,63,31,7.44,31.7,29.45
Soybean,Black,Zaid,Sprinkler,6.3,6.6,63,66,51,1.6,40819,44715,66,54,6.71,34.12,28.33
Capsicum,Sandy,Zaid,Sprinkler,6.2,7.5,235,124,99,26.18,83037,30080,64,35,8.09,23.98,22.66
Capsicum,Clay,Rabi,Canal,5.8,6.5,218,101,81,15.42,71765,39256,74,33,6.5,22.35,25.84
Tomato,Clay,Zaid,Drip,6.0,7.0,213,102,77,15.47,88197,10767,90,54,7.03,25.53,16.42
Maize,Loamy,Zaid,Drip,6.3,7.4,172,73,40,3.52,39742,15716,90,26,5.26,23.03,23.19
Groundnut,Red,Kharif,Sprinkler,5.6,7.4,75,67,70,2.53,48614,41903,94,57,8.47,25.84,22.76
Capsicum,Clay,Zaid,Canal,5.5,6.7,192,138,89,26.8,96461,30883,79,32,6.72,30.25,21.93
Potato,Sandy,Kharif,Rainfed,5.7,7.4,251,100,135,24.14,71028,19769,95,55,5.99,29.8,18.69
Tomato,Black,Kharif,Drip,6.4,7.0,228,79,104,19.46,86691,14043,69,39,8.42,20.04,19.45
Maize,Red,Zaid,Canal,6.4,7.5,134,88,75,3.09,36590,17795,67,58,5.06,26.7,29.21
Maize,Black,Zaid,Canal,6.2,6.7,176,56,57,4.16,30437,17691,62,60,8.14,21.62,26.81
Sugarcane,Black,Rabi,Sprinkler,6.2,7.0,290,105,93,30.33,64235,2864,92,30,7.46,22.09,28.89
Capsicum,Black,Zaid,Rainfed,6.1,7.4,150,132,106,27.43,90571,30193,82,55,6.77,24.21,29.93
Groundnut,Sandy,Rabi,Rainfed,5.5,6.8,61,90,85,1.78,41488,43338,64,24,5.8,30.9,19.03
Groundnut,Black,Kharif,Canal,5.6,6.5,43,97,84,1.95,36669,48799,71,35,5.53,28.07,29.59
Rice,Clay,Rabi,Sprinkler,6.1,7.6,125,40,63,5.27,51088,17716,83,26,5.09,28.14,22.1
Capsicum,Loamy,Kharif,Drip,5.8,7.1,161,118,126,25.71,109347,41014,81,55,5.36,25.08,29.47
Soybean,Loamy,Kharif,Rainfed,6.2,7.6,55,83,74,2.56,37027,38992,82,34,5.62,26.59,20.99
Wheat,Sandy,Zaid,Canal,6.2,7.8,95,69,70,3.41,47287,18430,79,34,7.76,33.17,19.24
Capsicum,Sandy,Zaid,Canal,5.8,7.2,185,124,140,21.58,116601,47360,66,48,6.68,27.57,21.03
Soybean,Clay,Rabi,Drip,6.5,7.5,75,83,75,2.38,35641,45763,68,45,5.52,22.52,25.25
Cotton,Sandy,Rabi,Canal,5.8,7.7,200,78,94,2.85,48063,69620,72,26,7.37,22.26,29.75
Rice,Red,Zaid,Canal,6.0,6.9,148,59,40,5.96,35123,17291,81,22,8.8,32.18,24.72
Tomato,Sandy,Zaid,Rainfed,5.5,7.2,208,90,112,24.57,80559,13576,85,53,5.04,34.29,18.12
Maize,Black,Kharif,Drip,6.4,7.6,152,69,80,5.0,31577,17996,94,56,5.81,34.59,29.72
Capsicum,Red,Rabi,Sprinkler,5.9,7.1,169,109,95,14.74,65433,39156,63,35,6.75,31.58,28.82
Tomato,Sandy,Kharif,Rainfed,6.4,7.8,168,100,87,27.15,76486,10891,66,29,6.42,25.9,24.71
Rice,Clay,Zaid,Rainfed,5.7,6.7,149,58,58,2.64,56444,23281,69,51,8.62,32.24,17.92
Sugarcane,Red,Rabi,Drip,5.6,7.5,214,110,99,43.57,89286,3218,76,36,5.8,21.6,28.08
Potato,Sandy,Zaid,Canal,5.5,7.3,196,136,108,24.14,69014,18104,84,26,7.65,22.37,28.36
Soybean,Loamy,Rabi,Drip,6.5,6.9,75,93,61,2.76,29856,40190,70,42,5.45,20.57,18.32
Rice,Red,Rabi,Drip,6.3,7.3,109,52,66,5.49,45518,16532,60,37,5.46,25.77,24.05
Maize,Sandy,Zaid,Sprinkler,5.6,7.7,149,87,72,6.63,28641,19739,69,59,7.91,31.14,25.1
Maize,Red,Rabi,Rainfed,6.1,6.6,131,85,77,6.21,32468,15509,60,31,8.98,32.64,25.66
Potato,Sandy,Rabi,Rainfed,5.9,7.1,181,129,91,29.82,76791,17585,63,51,8.07,31.76,27.02
Maize,Clay,Kharif,Drip,6.1,6.8,148,72,69,5.65,45599,19739,75,52,5.49,24.34,22.38
Potato,Loamy,Zaid,Canal,5.8,6.8,258,81,112,16.79,60473,12389,79,46,7.77,26.15,16.68
Maize,Sandy,Rabi,Rainfed,5.7,7.2,139,53,50,3.31,38806,20589,63,57,8.49,31.42,19.65
Wheat,Sandy,Zaid,Canal,5.9,7.4,99,57,62,4.31,32321,25732,82,43,6.27,22.73,22.24
Potato,Red,Kharif,Rainfed,5.7,7.7,201,101,100,13.56,46679,17055,90,46,5.99,27.86,19.54
Cotton,Loamy,Kharif,Sprinkler,5.7,7.5,157,69,91,2.12,54098,58210,77,57,5.44,32.45,21.3
Potato,Loamy,Rabi,Canal,5.8,7.0,217,119,108,20.03,57178,13134,67,59,8.69,27.53,24.23
Tomato,Clay,Zaid,Rainfed,5.5,6.7,233,70,73,23.79,70313,14683,88,27,5.44,28.09,24.81
Potato,Black,Zaid,Sprinkler,5.6,6.9,226,120,89,23.77,50462,13311,74,51,7.0,22.09,27.88
Maize,Loamy,Rabi,Sprinkler,6.4,7.1,150,77,80,5.75,40695,21784,60,41,6.25,27.68,22.68
Wheat,Sandy,Rabi,Drip,5.6,7.8,111,49,69,4.69,49545,22243,71,39,8.89,24.02,15.67
Sugarcane,Loamy,Zaid,Canal,6.4,7.4,275,98,94,46.99,64326,3977,81,30,5.95,33.28,16.11
Cotton,Sandy,Zaid,Canal,6.0,7.0,151,80,60,2.9,49826,55956,71,33,6.73,23.4,28.66
Potato,Red,Zaid,Drip,6.1,6.8,223,137,99,20.38,79961,19092,65,53,8.25,27.93,21.31
Potato,Loamy,Kharif,Canal,6.0,6.6,187,126,118,28.85,76814,15407,70,27,5.47,26.86,25.64
Groundnut,Sandy,Zaid,Canal,6.4,7.3,74,70,77,2.51,34403,64170,86,32,8.08,29.03,16.85
Potato,Clay,Zaid,Sprinkler,6.0,7.7,254,88,120,17.26,67658,15100,91,41,6.54,21.41,21.56
Cotton,Clay,Zaid,Drip,6.3,7.2,180,95,99,2.42,47815,59851,70,57,7.65,32.19,29.96
Cotton,Loamy,Kharif,Sprinkler,6.3,6.8,161,90,100,2.24,59676,67731,62,46,5.45,28.22,19.57
Wheat,Sandy,Rabi,Drip,5.9,6.7,93,55,53,4.95,32042,23555,90,22,5.39,20.19,17.16
Cotton,Sandy,Rabi,Rainfed,5.8,7.2,196,73,80,3.4,47722,76235,87,23,5.14,22.5,17.95
Sugarcane,Loamy,Rabi,Canal,5.8,7.7,241,117,115,31.9,94874,4032,72,56,8.54,32.28,17.38
Soybean,Loamy,Zaid,Canal,6.1,7.1,76,82,48,1.66,31127,35702,83,36,7.48,24.78,26.0
Soybean,Sandy,Kharif,Canal,6.5,7.2,62,92,69,2.16,43905,40774,92,51,5.29,25.84,19.75
Groundnut,Loamy,Kharif,Canal,5.8,7.6,59,70,95,2.13,30055,44351,74,25,7.21,29.17,16.34
Cotton,Black,Zaid,Canal,6.3,6.7,144,89,87,2.33,64568,55898,89,36,6.51,23.81,27.62
Capsicum,Clay,Kharif,Drip,6.1,6.8,221,80,135,12.47,88587,22475,85,42,6.98,31.61,23.59
Capsicum,Loamy,Rabi,Rainfed,5.6,7.7,183,124,126,22.2,76273,25990,63,53,7.28,31.89,24.02
Tomato,Loamy,Rabi,Sprinkler,5.9,6.6,229,98,110,18.42,66942,15314,69,48,7.93,23.46,23.18
Cotton,Red,Kharif,Rainfed,6.0,6.6,174,79,89,1.82,65701,78528,79,29,6.87,29.85,19.85
Groundnut,Loamy,Rabi,Sprinkler,6.2,7.4,70,82,67,2.13,35502,56473,62,31,8.13,29.79,22.86
Soybean,Clay,Zaid,Canal,6.1,7.0,67,96,64,2.64,28412,46370,68,21,8.3,32.32,27.51
Potato,Sandy,Rabi,Rainfed,6.1,7.7,197,134,125,26.61,51951,18816,90,42,8.98,31.72,15.75
Maize,Red,Kharif,Drip,5.7,7.2,134,72,44,6.68,36739,18151,80,24,7.11,27.17,20.27
Sugarcane,Sandy,Kharif,Rainfed,6.2,6.8,206,108,109,40.89,77737,2856,86,48,5.79,34.79,28.44
Potato,Sandy,Kharif,Sprinkler,6.2,6.5,234,86,110,27.94,69125,16299,73,38,5.34,30.01,21.49
Cotton,Red,Kharif,Canal,6.3,6.8,200,83,65,2.33,62780,73860,64,35,8.08,33.84,26.9
Capsicum,Sandy,Zaid,Sprinkler,6.4,6.5,190,101,127,23.65,111471,25954,79,29,6.14,25.81,24.04
Cotton,Loamy,Zaid,Sprinkler,5.7,7.6,164,87,99,2.72,56737,79663,64,47,7.41,28.43,22.0
Capsicum,Loamy,Rabi,Canal,5.9,7.2,162,103,115,25.81,67542,41855,85,47,7.43,20.96,29.61
Capsicum,Loamy,Rabi,Rainfed,5.9,7.5,182,121,117,10.28,93775,35705,84,47,5.96,26.17,22.99
Capsicum,Red,Kharif,Canal,5.7,6.9,209,140,84,18.19,89021,24304,74,54,6.29,33.03,26.89
Tomato,Black,Zaid,Canal,6.4,7.3,213,111,97,21.75,56603,10196,95,49,6.38,28.15,20.41
Wheat,Black,Kharif,Sprinkler,6.4,7.5,113,70,46,4.48,40401,25647,91,57,5.92,21.85,27.46
Groundnut,Black,Kharif,Sprinkler,6.1,7.3,57,90,60,2.97,49370,47433,89,58,8.87,32.99,15.74
Groundnut,Red,Rabi,Rainfed,6.3,6.6,56,61,69,1.85,36803,59752,71,43,6.15,20.7,18.07
Sugarcane,Black,Zaid,Sprinkler,5.6,6.7,280,106,113,47.54,61693,4021,72,60,7.14,23.25,26.11
Capsicum,Red,Rabi,Sprinkler,5.8,7.3,204,102,82,14.4,63199,42198,82,54,8.75,25.83,24.06
Soybean,Red,Kharif,Sprinkler,6.4,7.7,58,69,57,1.92,29005,36739,87,40,8.6,20.42,29.86
Wheat,Sandy,Kharif,Sprinkler,6.2,6.7,139,50,69,2.77,32001,23477,63,30,7.02,26.33,27.78
Sugarcane,Clay,Rabi,Drip,6.2,6.6,256,114,108,28.15,74294,4125,82,21,8.27,27.28,27.39
Groundnut,Sandy,Rabi,Canal,5.8,7.1,72,62,67,1.3,38114,57113,66,60,6.08,28.52,15.62
Soybean,Red,Kharif,Rainfed,5.8,7.8,55,66,79,2.71,43649,36634,82,53,8.93,22.93,17.9
Potato,Red,Rabi,Sprinkler,6.4,6.9,235,91,115,16.29,73453,17204,67,57,5.73,20.37,27.8
Rice,Sandy,Kharif,Drip,6.2,7.5,137,41,57,4.44,41208,17577,84,28,6.35,31.46,15.25
Maize,Loamy,Zaid,Sprinkler,5.8,6.6,177,57,77,6.88,34641,20318,76,38,8.5,21.81,16.66
Wheat,Loamy,Zaid,Drip,5.8,6.5,126,59,63,4.49,30616,18542,67,34,6.36,25.42,24.0
Maize,Clay,Zaid,Rainfed,6.2,6.7,147,89,40,3.33,35391,21863,94,24,6.46,23.71,17.26
Tomato,Loamy,Kharif,Canal,6.3,6.6,223,80,93,32.29,57711,11162,73,51,8.93,31.06,28.09
Sugarcane,Black,Rabi,Drip,5.8,6.8,274,117,135,26.29,98941,3427,65,45,8.75,28.19,26.57
Maize,Black,Rabi,Rainfed,5.8,7.7,136,87,66,3.45,46461,20859,84,42,6.15,34.99,24.53
Groundnut,Red,Rabi,Sprinkler,5.7,7.2,50,94,95,2.5,41169,53864,88,25,7.72,28.57,26.06
Cotton,Loamy,Zaid,Canal,5.8,7.7,185,92,71,3.44,55143,61539,60,40,5.42,24.09,22.04
Sugarcane,Loamy,Kharif,Canal,6.0,7.8,208,80,95,43.46,88715,3288,81,51,5.87,21.07,18.7
Rice,Sandy,Rabi,Canal,6.3,7.3,111,52,60,3.46,56217,17248,69,26,7.12,29.63,15.02
Soybean,Loamy,Rabi,Rainfed,6.1,7.3,59,86,70,2.27,26438,40970,95,53,8.66,20.66,25.05
Potato,Black,Zaid,Rainfed,6.1,6.7,181,136,97,21.78,77509,17052,81,60,8.71,26.89,17.29
Groundnut,Loamy,Zaid,Canal,6.3,6.7,62,87,60,2.68,40337,55792,61,20,5.29,25.39,28.94
Capsicum,Sandy,Kharif,Canal,6.3,7.2,154,112,94,23.0,105177,29194,64,25,8.23,21.25,15.72
Cotton,Sandy,Rabi,Rainfed,5.6,7.1,171,92,72,3.25,68368,63247,84,50,6.53,22.88,23.15
Tomato,Clay,Rabi,Drip,6.4,7.8,213,86,106,30.13,51519,9802,83,49,8.18,22.32,15.58
Sugarcane,Red,Zaid,Canal,6.3,6.7,216,82,101,52.12,73136,3287,92,33,6.15,29.74,24.25
Rice,Loamy,Kharif,Rainfed,6.2,6.8,134,78,60,4.41,43305,23849,68,26,8.55,29.19,16.38
Potato,Loamy,Rabi,Canal,6.1,7.7,197,110,118,14.78,53342,13214,85,59,6.76,26.99,29.36
Potato,Loamy,Rabi,Canal,5.8,7.5,197,99,136,21.43,46983,15752,72,59,6.32,21.22,18.61
Capsicum,Sandy,Zaid,Drip,5.6,7.2,193,127,82,16.39,97657,46739,77,59,6.36,26.33,24.17
Groundnut,Red,Zaid,Rainfed,5.5,6.7,65,88,62,1.24,32970,41906,94,25,6.65,22.05,24.22
Potato,Clay,Rabi,Canal,5.6,6.8,226,118,84,13.9,72979,16997,82,56,8.47,30.98,15.65
Rice,Loamy,Zaid,Rainfed,5.8,6.7,135,80,45,4.68,39794,16053,77,29,6.79,31.55,27.6
Capsicum,Black,Rabi,Sprinkler,6.5,7.5,166,121,88,19.57,114955,31974,60,60,6.86,25.83,28.89
Potato,Red,Kharif,Rainfed,6.1,6.8,243,102,92,12.44,70075,17587,84,35,5.95,32.53,15.53
Soybean,Loamy,Kharif,Canal,5.7,7.3,61,98,78,2.73,29557,52418,95,26,7.33,23.77,16.05
Maize,Loamy,Zaid,Sprinkler,6.1,7.3,122,71,69,5.61,28868,18005,83,32,6.41,34.96,20.75
Maize,Clay,Rabi,Sprinkler,6.0,6.5,133,68,47,6.99,46136,20943,93,48,5.09,23.05,18.94
Groundnut,Red,Kharif,Canal,6.1,7.5,76,87,91,1.95,40317,54931,63,55,6.1,26.83,27.69
Wheat,Red,Kharif,Sprinkler,6.4,7.4,133,70,59,3.82,34736,20706,69,57,6.4,25.71,25.53
Groundnut,Clay,Rabi,Rainfed,6.1,7.6,46,61,67,1.28,35670,51072,75,26,6.77,22.34,29.76
Cotton,Red,Zaid,Rainfed,6.2,7.7,174,99,92,3.67,57602,52778,61,21,8.32,29.47,17.75
Potato,Sandy,Zaid,Sprinkler,6.1,7.3,247,114,85,21.72,67307,16192,64,53,6.58,26.28,29.29
Sugarcane,Red,Rabi,Rainfed,6.4,7.6,209,89,103,50.08,67061,3493,62,58,6.92,31.48,19.8
Sugarcane,Black,Zaid,Drip,6.2,6.8,250,107,126,27.62,74531,2855,78,27,7.52,26.97,23.01
Tomato,Black,Zaid,Rainfed,6.3,7.7,178,106,115,28.82,67300,12090,69,21,6.77,26.53,24.74
Maize,Clay,Zaid,Rainfed,5.9,7.1,175,85,77,4.11,32306,19916,73,27,8.83,34.84,16.55
Capsicum,Sandy,Kharif,Canal,5.9,7.1,198,132,80,10.42,107351,32597,93,35,8.69,20.14,25.35
Sugarcane,Red,Kharif,Sprinkler,5.7,6.6,279,126,134,28.95,69664,3183,68,23,6.83,20.51,28.22
Capsicum,Sandy,Zaid,Rainfed,5.7,7.6,183,120,88,22.55,87461,25891,72,59,6.64,21.17,20.13
Maize,Red,Kharif,Canal,5.8,7.6,172,61,61,3.75,47032,14803,77,27,7.32,34.65,24.81
Potato,Black,Rabi,Sprinkler,6.2,7.7,182,117,105,21.17,76558,15906,76,43,7.26,25.98,28.54
Sugarcane,Red,Rabi,Rainfed,6.1,6.6,200,80,122,26.04,76434,3684,62,32,5.49,28.22,17.04
Wheat,Clay,Rabi,Sprinkler,5.8,7.6,125,61,63,4.22,38363,23053,86,52,5.78,26.93,21.22
Groundnut,Loamy,Rabi,Drip,6.0,7.7,43,60,61,2.17,36115,40095,72,57,8.95,33.22,23.56
Soybean,Clay,Rabi,Rainfed,6.2,6.6,77,88,58,1.52,27402,35319,91,34,7.82,32.56,26.55
Rice,Loamy,Kharif,Sprinkler,5.8,7.8,139,74,49,5.71,36033,20346,81,42,5.74,20.47,22.96
Capsicum,Clay,Zaid,Rainfed,6.3,7.7,198,126,138,18.62,82360,37753,89,53,7.31,21.72,22.68
Maize,Loamy,Kharif,Canal,6.2,7.2,147,60,70,6.58,37491,19851,66,21,7.53,33.22,23.64
Soybean,Red,Zaid,Rainfed,5.7,7.3,62,98,63,1.81,34032,42861,67,51,8.46,28.58,25.62
Maize,Black,Zaid,Drip,5.5,7.7,158,58,47,6.94,44713,17640,95,60,6.03,27.71,26.9
Rice,Red,Zaid,Rainfed,6.5,7.0,110,48,54,3.35,59731,16744,80,54,5.64,27.92,16.64
Rice,Black,Kharif,Rainfed,6.4,7.6,127,45,54,3.6,55687,23185,83,43,6.17,23.94,16.71
Potato,Loamy,Kharif,Canal,5.7,7.0,251,101,84,27.81,70846,13305,85,49,8.56,25.02,21.11
Soybean,Clay,Kharif,Drip,5.6,6.7,82,67,77,2.38,39325,37379,92,26,5.17,32.93,25.13
Wheat,Black,Zaid,Sprinkler,6.2,6.6,100,66,63,3.77,37307,18991,90,43,8.22,32.91,29.16
Maize,Sandy,Rabi,Sprinkler,6.0,7.0,134,71,70,6.85,30557,14147,95,58,5.5,23.38,16.8
Groundnut,Sandy,Zaid,Canal,5.6,7.7,50,82,88,1.6,40891,61393,60,20,6.53,24.63,28.96
Capsicum,Loamy,Kharif,Rainfed,5.9,7.5,172,138,90,12.83,75634,37584,78,42,5.05,32.34,21.36
Cotton,Black,Rabi,Drip,6.2,7.7,187,99,94,2.39,48226,63513,92,60,6.25,24.66,23.85
Groundnut,Red,Kharif,Drip,5.6,7.8,48,79,86,1.26,41832,41016,74,42,6.02,24.4,15.17
Capsicum,Clay,Kharif,Sprinkler,6.2,6.8,206,122,109,16.06,92571,35567,74,20,5.89,22.72,23.99
Sugarcane,Clay,Zaid,Sprinkler,6.2,7.7,203,109,121,49.92,89065,2999,91,22,8.05,29.43,22.59
Soybean,Black,Rabi,Sprinkler,5.7,7.0,78,79,58,1.6,30918,42319,73,23,8.81,25.53,27.26
Soybean,Sandy,Kharif,Sprinkler,6.1,7.7,79,79,62,1.72,36585,39536,95,33,6.46,34.85,18.2
Wheat,Loamy,Rabi,Rainfed,6.0,6.9,95,67,66,4.49,40063,18114,76,32,7.3,28.86,23.46
Capsicum,Loamy,Rabi,Sprinkler,6.3,7.7,178,92,98,29.53,85510,38919,93,29,5.78,24.68,28.49
Capsicum,Clay,Kharif,Drip,5.7,6.6,174,102,135,13.76,116920,37011,74,33,8.91,24.86,29.09
Sugarcane,Black,Rabi,Rainfed,6.0,6.5,234,138,133,44.58,68657,3020,79,36,7.55,27.86,17.14
Soybean,Black,Rabi,Drip,6.2,7.6,80,94,76,1.91,26114,41995,71,31,5.69,23.5,20.72
Potato,Clay,Kharif,Canal,5.7,7.1,217,101,95,29.97,71316,18253,84,55,8.73,20.08,17.05
Capsicum,Red,Zaid,Rainfed,5.8,6.7,229,101,139,25.96,63038,43720,86,42,6.53,25.98,26.11
Tomato,Red,Rabi,Canal,5.9,7.8,209,107,98,17.7,60709,12426,72,47,7.61,32.5,20.76
Sugarcane,Loamy,Zaid,Drip,5.9,7.4,287,115,126,57.46,67077,2943,84,54,7.54,27.71,21.54
Maize,Clay,Kharif,Sprinkler,6.3,7.4,126,59,42,3.89,45625,20515,74,47,7.81,20.39,21.88
Groundnut,Sandy,Kharif,Sprinkler,6.4,7.5,72,96,84,1.67,31574,53619,81,24,5.38,24.94,28.6
Wheat,Sandy,Rabi,Canal,5.9,7.4,134,69,70,2.38,39830,24926,79,34,6.91,29.62,23.45
Groundnut,Black,Rabi,Sprinkler,5.9,7.1,64,88,77,1.93,35964,55862,85,26,7.54,20.66,26.05
Cotton,Loamy,Kharif,Drip,5.6,6.9,182,99,74,3.85,63272,69776,89,29,5.14,22.91,27.69
Cotton,Black,Zaid,Sprinkler,6.0,6.7,143,97,61,3.45,46105,53009,80,30,8.21,29.63,25.69
Sugarcane,Clay,Kharif,Rainfed,5.7,6.8,279,126,122,31.94,67126,3391,79,27,8.71,21.88,24.16
Maize,Black,Rabi,Canal,6.3,6.8,154,52,54,4.34,46977,16399,65,20,5.98,27.53,28.92
Rice,Red,Zaid,Canal,5.6,7.3,116,44,68,5.69,36465,23639,79,30,7.73,30.69,27.82
Wheat,Clay,Rabi,Rainfed,6.1,7.6,121,41,52,3.94,34958,19109,81,52,7.2,28.13,23.9
Potato,Red,Zaid,Rainfed,6.4,7.2,185,111,93,14.04,64491,16381,92,25,5.73,26.6,17.89
Soybean,Black,Zaid,Canal,6.2,7.5,76,68,41,2.16,35659,45491,61,54,8.11,34.53,18.44
Groundnut,Clay,Zaid,Sprinkler,6.0,7.8,73,72,67,2.12,33307,52452,62,59,5.37,34.99,16.2
Capsicum,Black,Kharif,Drip,5.9,6.6,202,113,96,15.98,83298,24571,88,48,5.92,23.64,19.02
Rice,Clay,Zaid,Sprinkler,5.6,7.8,140,70,48,4.07,44431,21203,88,46,8.62,28.57,26.68
Sugarcane,Clay,Zaid,Canal,6.2,7.0,270,125,140,57.31,96362,3453,62,57,8.81,21.32,29.51
Sugarcane,Black,Rabi,Sprinkler,5.7,7.2,297,92,97,41.69,78119,2841,83,46,5.33,22.94,24.0
Soybean,Red,Rabi,Rainfed,6.4,7.2,75,100,57,2.65,32043,48152,84,40,8.61,22.04,16.89
Rice,Clay,Zaid,Drip,5.7,7.0,117,50,43,5.39,49233,19824,75,39,5.63,20.43,22.76
